Variable,Description,Category,Data Type,Notes
INDFMPIR,Family Poverty Income Ratio,Demographics,Continuous,"Ratio of family income to poverty threshold"
DMDMARTL,Marital Status,Demographics,Categorical,"Married, Widowed, Divorced, Separated, Never married, Living with partner"
DMDHHSIZ,Household Size,Demographics,Continuous,"Number of people living in the household"
DMDBORN4,Country of Birth,Demographics,Categorical,"Born in 50 U.S. states or D.C., Born in Mexico, Born elsewhere"
RIDEXPRG,Pregnancy Status at Examination,Demographics,Categorical,"Pregnant, Not pregnant"
RIDEXMON,Examination Month Period,Demographics,Categorical,"November 1–April 30, May 1–October 31"
WTINT2YR,Full Sample 2-Year Interview Weight,Demographics,Continuous,"Weighting variable for interview data analysis"
WTMEC2YR,Full Sample 2-Year MEC Exam Weight,Demographics,Continuous,"Weighting variable for examination data analysis"
DIQ010,Doctor Told You Have Diabetes,Health Outcomes,Categorical,"Yes, No"
DR1TKCAL,Total Energy Intake (kcal),Health Outcomes,Continuous,"Total kilocalories consumed based on dietary recall"
URXUAC,Urinary Albumin (mg/L),Health Outcomes,Continuous,"Indicator of kidney disease; normal: < 30 mg/L"
URDACT,Albumin-Creatinine Ratio (mg/g),Health Outcomes,Continuous,"Normal: < 30 mg/g, Microalbuminuria: 30–300 mg/g, Macroalbuminuria: > 300 mg/g"
BPQ020,Ever Told Had High Blood Pressure,Health Outcomes,Categorical,"Yes, No"
BPQ080,Now Taking Hypertension Medication,Health Outcomes,Categorical,"Yes, No"
OHQ845,Time Since Last Dental Visit,Health Outcomes,Categorical,"<6 months, 6–12 months, >1 year, Never"
OHDDESTS,Dentition Examination Status,Health Outcomes,Categorical,"Complete, Partial, Not Done"
SXQ292,Ever Told Had Genital Herpes,Health Outcomes,Categorical,"Yes, No"
SXQ294,Ever Told Had Chlamydia,Health Outcomes,Categorical,"Yes, No"
LBXBPB,Blood Lead (µg/dL),Health Outcomes,Continuous,"Indicator of environmental lead exposure"
LBXTHG,Blood Mercury (µg/L),Health Outcomes,Continuous,"Indicator of environmental mercury exposure"
LBXBSE,Blood Selenium (µg/L),Health Outcomes,Continuous,"Indicator of selenium exposure"
RXDUSE,Use Any Prescription Medications,Health Outcomes,Categorical,"Yes, No"
RXDCOUNT,Number of Prescription Medications Taken,Health Outcomes,Continuous,"Count of prescription medications used"
